input_file,n,si,ti
seq1.mkv,1,21.62,
seq1.mkv,2,21.859,11.351
seq1.mkv,3,21.946,13.898
seq1.mkv,4,22.195,13.836
seq1.mkv,5,21.945,14.842
seq1.mkv,6,21.935,13.694
seq1.mkv,7,22.718,14.874
seq1.mkv,8,21.891,13.538
seq1.mkv,9,21.587,14.505
seq1.mkv,10,22.577,13.55
seq1.mkv,11,21.944,14.68
seq1.mkv,12,22.147,13.3
seq1.mkv,13,22.102,14.355
seq1.mkv,14,21.848,13.284
seq1.mkv,15,22.728,14.365
seq1.mkv,16,22.418,12.776
seq1.mkv,17,23.39,13.682
seq1.mkv,18,23.3,12.611
seq1.mkv,19,23.563,13.657
seq1.mkv,20,17.152,25.827
seq1.mkv,21,16.836,6.437
seq1.mkv,22,16.769,5.486
seq1.mkv,23,16.874,6.689
seq1.mkv,24,16.753,5.213
seq1.mkv,25,16.65,6.078
seq1.mkv,26,16.538,5.742
seq1.mkv,27,16.552,7.47
seq1.mkv,28,16.672,6.628
seq1.mkv,29,16.613,7.855
seq1.mkv,30,16.68,6.437
seq1.mkv,31,16.797,7.234
seq1.mkv,32,16.553,5.932
seq1.mkv,33,16.416,7.387
seq1.mkv,34,16.31,6.755
seq1.mkv,35,16.494,7.869
seq1.mkv,36,16.631,7.01
seq1.mkv,37,16.468,8.78
seq1.mkv,38,16.444,7.56
seq1.mkv,39,16.363,8.993
seq1.mkv,40,16.355,7.416
seq1.mkv,41,16.269,8.429
seq1.mkv,42,16.257,6.911
seq1.mkv,43,16.25,7.769
seq1.mkv,44,16.18,6.328
seq1.mkv,45,16.088,7.265
seq1.mkv,46,16.002,6.548
seq1.mkv,47,16.066,8.044
seq1.mkv,48,16.001,6.544
seq1.mkv,49,15.93,7.688
seq1.mkv,50,15.923,6.874
seq1.mkv,51,16.016,7.443
seq1.mkv,52,16.084,6.635
seq1.mkv,53,16.104,7.103
seq1.mkv,54,16.072,4.632
seq1.mkv,55,16.137,6.35
seq1.mkv,56,16.074,5.286
seq1.mkv,57,16.001,6.487
seq1.mkv,58,16.039,4.951
seq1.mkv,59,16.122,5.089
seq1.mkv,60,16.134,3.768
seq1.mkv,61,16.106,4.503
seq1.mkv,62,16.118,3.631
seq1.mkv,63,16.153,4.912
seq1.mkv,64,16.196,3.742
seq1.mkv,65,16.132,4.996
seq1.mkv,66,16.136,3.656
seq1.mkv,67,16.16,4.906
seq1.mkv,68,16.208,4.81
seq1.mkv,69,16.062,5.254
seq1.mkv,70,16.114,4.054
seq1.mkv,71,16.193,5.449
seq1.mkv,72,16.092,4.593
seq1.mkv,73,12.239,21.718
seq1.mkv,74,12.23,3.256
seq1.mkv,75,12.339,4.174
seq1.mkv,76,12.403,2.999
seq1.mkv,77,12.513,3.394
seq1.mkv,78,12.46,3.619
seq1.mkv,79,12.301,4.326
seq1.mkv,80,12.022,3.052
seq1.mkv,81,11.663,2.807
seq1.mkv,82,11.404,1.43
seq1.mkv,83,11.161,2.593
seq1.mkv,84,11.117,2.568
seq1.mkv,85,7.943,16.896
seq1.mkv,86,7.972,2.069
seq1.mkv,87,7.996,2.378
seq1.mkv,88,8.075,2.115
seq1.mkv,89,8.007,2.572
seq1.mkv,90,7.991,2.071
seq1.mkv,91,8.034,2.664
seq1.mkv,92,7.99,2.386
seq1.mkv,93,7.981,3.071
seq1.mkv,94,8.081,2.39
seq1.mkv,95,8.066,2.574
seq1.mkv,96,8.045,1.883
seq1.mkv,97,8.01,2.22
seq1.mkv,98,8.007,1.981
seq1.mkv,99,8.049,2.389
seq1.mkv,100,8.042,1.887
seq1.mkv,101,7.989,2.438
seq1.mkv,102,7.939,1.577
seq1.mkv,103,8.092,1.84
seq1.mkv,104,8.186,1.862
seq1.mkv,105,8.187,2.549
seq1.mkv,106,22.666,31.821
seq1.mkv,107,22.733,0.926
seq1.mkv,108,22.741,0.851
seq1.mkv,109,22.761,1.346
seq1.mkv,110,22.741,1.528
seq1.mkv,111,22.82,2.343
seq1.mkv,112,22.922,1.318
seq1.mkv,113,22.707,0.914
seq1.mkv,114,22.7,0.675
seq1.mkv,115,22.887,0.876
seq1.mkv,116,22.76,0.755
seq1.mkv,117,22.684,0.885
seq1.mkv,118,22.735,0.796
seq1.mkv,119,22.764,0.986
seq1.mkv,120,22.786,0.789
seq1.mkv,121,22.771,1.017
seq1.mkv,122,22.76,0.928
seq1.mkv,123,22.757,1.07
seq1.mkv,124,22.719,1.213
seq1.mkv,125,22.688,1.099
seq1.mkv,126,22.681,1.33
seq1.mkv,127,22.763,2.028
seq1.mkv,128,22.858,1.035
seq1.mkv,129,22.638,1.024
seq1.mkv,130,22.664,0.81
seq1.mkv,131,22.882,1.078
seq1.mkv,132,22.751,0.872
seq1.mkv,133,22.673,0.998
seq1.mkv,134,22.736,0.68
seq1.mkv,135,22.748,0.895
seq1.mkv,136,22.789,0.795
seq1.mkv,137,22.759,1.007
seq1.mkv,138,22.761,0.703
seq1.mkv,139,22.831,1.108
seq1.mkv,140,22.809,0.788
seq1.mkv,141,13.932,28.86
seq1.mkv,142,13.91,0.468
seq1.mkv,143,13.931,0.582
seq1.mkv,144,13.988,0.497
seq1.mkv,145,13.909,0.622
seq1.mkv,146,13.914,0.517
seq1.mkv,147,13.982,0.638
seq1.mkv,148,13.949,0.522
seq1.mkv,149,13.925,0.598
seq1.mkv,150,13.954,0.483
seq1.mkv,151,13.969,0.628
seq1.mkv,152,13.997,0.529
seq1.mkv,153,13.983,0.66
seq1.mkv,154,13.981,0.492
seq1.mkv,155,14.001,0.628
seq1.mkv,156,13.988,0.496
seq1.mkv,157,13.972,0.585
seq1.mkv,158,13.961,0.443
seq1.mkv,159,13.975,0.555
seq1.mkv,160,14.021,0.483
seq1.mkv,161,13.969,0.582
seq1.mkv,162,13.958,0.464
seq1.mkv,163,14.0,0.614
seq1.mkv,164,13.947,0.519
seq1.mkv,165,13.945,0.607
seq1.mkv,166,13.968,0.488
seq1.mkv,167,13.966,0.583
seq1.mkv,168,13.977,0.52
seq1.mkv,169,13.96,0.627
seq1.mkv,170,13.942,0.507
seq1.mkv,171,13.959,0.611
seq1.mkv,172,13.961,0.506
seq1.mkv,173,13.949,0.594
seq1.mkv,174,13.958,0.504
seq1.mkv,175,13.967,0.611
seq1.mkv,176,14.001,0.539
seq1.mkv,177,13.96,0.658
seq1.mkv,178,13.95,0.478
seq1.mkv,179,13.995,0.679
seq1.mkv,180,13.951,0.572
seq1.mkv,181,13.922,0.66
seq1.mkv,182,13.929,0.546
seq1.mkv,183,13.924,0.661
seq1.mkv,184,13.922,0.543
seq1.mkv,185,13.905,0.702
seq1.mkv,186,13.903,0.552
seq1.mkv,187,13.908,0.578
seq1.mkv,188,13.915,0.668
seq1.mkv,189,13.948,0.592
seq1.mkv,190,13.922,0.715
seq1.mkv,191,13.936,0.565
seq1.mkv,192,13.975,0.669
seq1.mkv,193,13.931,0.542
seq1.mkv,194,13.9,0.599
seq1.mkv,195,13.906,0.493
seq1.mkv,196,13.909,0.632
seq1.mkv,197,13.93,0.57
seq1.mkv,198,13.901,0.685
seq1.mkv,199,13.885,0.538
seq1.mkv,200,13.907,0.764
seq1.mkv,201,13.896,0.567
seq1.mkv,202,13.896,0.606
seq1.mkv,203,13.899,0.668
seq1.mkv,204,13.929,0.615
seq1.mkv,205,13.995,0.542
seq1.mkv,206,13.94,0.644
seq1.mkv,207,13.933,0.513
seq1.mkv,208,13.948,0.645
seq1.mkv,209,13.925,0.559
seq1.mkv,210,13.948,0.674
seq1.mkv,211,13.96,0.543
seq1.mkv,212,13.968,0.617
seq1.mkv,213,13.991,0.53
seq1.mkv,214,13.971,0.602
seq1.mkv,215,13.962,0.582
seq1.mkv,216,13.995,0.623
seq1.mkv,217,13.986,0.51
seq1.mkv,218,13.974,0.578
seq1.mkv,219,13.958,0.499
seq1.mkv,220,13.984,0.605
seq1.mkv,221,14.008,0.537
seq1.mkv,222,13.984,0.673
seq1.mkv,223,13.984,0.551
seq1.mkv,224,0.0,16.622
seq1.mkv,225,0.0,0.0
seq1.mkv,226,0.0,0.0
seq1.mkv,227,0.0,0.0
seq1.mkv,228,0.0,0.0
seq1.mkv,229,0.0,0.0
seq1.mkv,230,0.0,0.0
seq1.mkv,231,0.0,0.0
seq1.mkv,232,0.0,0.0
seq1.mkv,233,0.0,0.0
seq1.mkv,234,0.0,0.0
seq1.mkv,235,0.0,0.0
seq1.mkv,236,3.675,1.754
seq1.mkv,237,6.179,1.184
seq1.mkv,238,9.846,1.752
seq1.mkv,239,12.329,1.185
seq1.mkv,240,16.013,1.753

