input_file,n,si,ti
training.mkv,1,27.82,
training.mkv,2,27.854,1.444
training.mkv,3,27.91,2.75
training.mkv,4,27.946,2.823
training.mkv,5,28.045,3.739
training.mkv,6,28.112,2.616
training.mkv,7,28.16,3.464
training.mkv,8,28.202,2.47
training.mkv,9,28.338,3.864
training.mkv,10,28.374,2.703
training.mkv,11,28.441,4.023
training.mkv,12,28.555,2.862
training.mkv,13,28.65,3.757
training.mkv,14,28.729,2.742
training.mkv,15,28.825,3.848
training.mkv,16,28.893,2.696
training.mkv,17,28.948,4.117
training.mkv,18,29.028,2.896
training.mkv,19,29.102,4.105
training.mkv,20,29.147,2.813
training.mkv,21,29.243,3.757
training.mkv,22,29.306,2.68
training.mkv,23,29.397,3.853
training.mkv,24,29.414,2.735
training.mkv,25,29.532,4.157
training.mkv,26,29.573,2.809
training.mkv,27,29.706,3.961
training.mkv,28,29.774,2.716
training.mkv,29,29.878,3.796
training.mkv,30,29.956,2.943
training.mkv,31,30.022,4.207
training.mkv,32,30.079,3.093
training.mkv,33,30.238,4.393
training.mkv,34,30.246,2.718
training.mkv,35,30.389,4.236
training.mkv,36,30.473,2.843
training.mkv,37,30.581,4.266
training.mkv,38,30.664,3.232
training.mkv,39,30.786,4.144
training.mkv,40,30.817,2.971
training.mkv,41,30.862,3.972
training.mkv,42,30.942,2.79
training.mkv,43,31.01,4.119
training.mkv,44,31.066,2.874
training.mkv,45,31.146,4.263
training.mkv,46,31.239,3.057
training.mkv,47,31.31,4.285
training.mkv,48,31.336,3.091
training.mkv,49,31.428,4.444
training.mkv,50,31.49,3.122
training.mkv,51,35.734,61.343
training.mkv,52,35.756,8.339
training.mkv,53,35.811,10.207
training.mkv,54,35.823,8.381
training.mkv,55,35.804,10.237
training.mkv,56,35.815,8.384
training.mkv,57,35.842,10.247
training.mkv,58,35.834,8.417
training.mkv,59,35.829,10.256
training.mkv,60,35.843,8.418
training.mkv,61,35.85,10.276
training.mkv,62,35.857,8.44
training.mkv,63,35.85,10.288
training.mkv,64,35.834,8.453
training.mkv,65,35.876,10.303
training.mkv,66,35.88,8.477
training.mkv,67,35.861,10.317
training.mkv,68,35.867,8.48
training.mkv,69,35.878,10.328
training.mkv,70,35.88,8.507
training.mkv,71,35.875,10.353
training.mkv,72,35.884,8.52
training.mkv,73,35.9,10.369
training.mkv,74,35.908,8.555
training.mkv,75,35.842,10.387
training.mkv,76,35.853,8.558
training.mkv,77,35.873,10.402
training.mkv,78,35.872,8.586
training.mkv,79,35.862,10.42
training.mkv,80,35.863,8.589
training.mkv,81,35.881,10.428
training.mkv,82,35.867,8.62
training.mkv,83,35.885,10.446
training.mkv,84,35.903,8.626
training.mkv,85,35.887,10.467
training.mkv,86,35.897,8.638
training.mkv,87,35.914,10.486
training.mkv,88,35.918,8.658
training.mkv,89,35.946,10.506
training.mkv,90,35.968,8.68
training.mkv,91,35.977,10.534
training.mkv,92,35.977,8.69
training.mkv,93,35.989,10.542
training.mkv,94,35.997,8.704
training.mkv,95,36.001,10.555
training.mkv,96,36.013,8.708
training.mkv,97,36.052,10.567
training.mkv,98,36.079,8.747
training.mkv,99,36.043,10.584
training.mkv,100,36.066,8.741
training.mkv,101,36.097,10.599
training.mkv,102,36.124,8.776
training.mkv,103,36.139,10.637
training.mkv,104,36.147,8.789
training.mkv,105,36.174,10.643
training.mkv,106,36.174,8.811
training.mkv,107,36.187,10.652
training.mkv,108,36.212,8.82
training.mkv,109,36.22,10.675
training.mkv,110,36.248,8.845
training.mkv,111,36.269,10.7
training.mkv,112,36.293,8.874
training.mkv,113,41.658,31.45
training.mkv,114,41.654,5.911
training.mkv,115,41.66,8.015
training.mkv,116,41.707,5.915
training.mkv,117,41.729,8.041
training.mkv,118,41.744,5.929
training.mkv,119,41.752,8.055
training.mkv,120,41.744,5.934
training.mkv,121,41.803,8.064
training.mkv,122,41.833,5.957
training.mkv,123,41.793,8.081
training.mkv,124,41.814,5.955
training.mkv,125,41.865,8.093
training.mkv,126,41.88,5.98
training.mkv,127,41.85,8.115
training.mkv,128,41.839,5.969
training.mkv,129,41.893,8.119
training.mkv,130,41.883,5.998
training.mkv,131,41.861,8.122
training.mkv,132,41.883,5.986
training.mkv,133,41.897,8.135
training.mkv,134,41.905,6.002
training.mkv,135,41.902,8.142
training.mkv,136,41.898,6.006
training.mkv,137,41.846,8.158
training.mkv,138,41.844,6.018
training.mkv,139,41.833,8.147
training.mkv,140,41.861,6.017
training.mkv,141,41.853,8.162
training.mkv,142,41.871,6.023
training.mkv,143,41.868,8.165
training.mkv,144,41.851,6.025
training.mkv,145,41.888,8.168
training.mkv,146,41.899,6.039
training.mkv,147,41.879,8.18
training.mkv,148,41.894,6.036
training.mkv,149,41.907,8.179
training.mkv,150,41.908,6.047
training.mkv,151,41.875,8.189
training.mkv,152,41.882,6.034
training.mkv,153,41.936,8.188
training.mkv,154,41.918,6.067
training.mkv,155,41.882,8.19
training.mkv,156,41.914,6.045
training.mkv,157,41.874,6.047
training.mkv,158,41.925,8.198
training.mkv,159,41.932,6.063
training.mkv,160,41.92,8.21
training.mkv,161,41.92,6.068
training.mkv,162,41.899,8.216
training.mkv,163,41.906,6.064
training.mkv,164,41.917,8.214
training.mkv,165,41.892,6.066
training.mkv,166,41.922,8.217
training.mkv,167,41.929,6.076
training.mkv,168,41.87,8.215
training.mkv,169,41.912,6.064
training.mkv,170,41.941,8.223
training.mkv,171,41.946,6.085
training.mkv,172,41.912,8.231
training.mkv,173,41.905,6.066
training.mkv,174,41.962,8.23
training.mkv,175,41.945,6.09
training.mkv,176,41.922,8.233
training.mkv,177,41.955,6.082
training.mkv,178,41.953,8.248
training.mkv,179,41.97,6.097
training.mkv,180,41.964,8.258
training.mkv,181,41.939,6.095
training.mkv,182,41.989,8.264
training.mkv,183,41.997,6.115
training.mkv,184,41.98,8.277
training.mkv,185,42.022,6.122
training.mkv,186,41.994,8.301
training.mkv,187,41.999,6.12
training.mkv,188,41.982,8.291
training.mkv,189,41.972,6.12
training.mkv,190,42.004,8.295
training.mkv,191,42.013,6.136
training.mkv,192,41.999,8.307
training.mkv,193,41.995,6.136
training.mkv,194,42.021,8.312
training.mkv,195,42.03,6.149
training.mkv,196,41.997,8.327
training.mkv,197,41.99,6.137
training.mkv,198,42.041,8.325
training.mkv,199,42.014,6.159
training.mkv,200,41.987,8.324
training.mkv,201,41.994,6.146
training.mkv,202,42.003,8.329
training.mkv,203,42.016,6.157
training.mkv,204,42.008,8.337
training.mkv,205,41.986,6.155
training.mkv,206,42.024,8.344
training.mkv,207,42.024,6.17
training.mkv,208,42.018,8.352
training.mkv,209,42.053,6.175
training.mkv,210,41.972,8.369
training.mkv,211,42.0,6.169
training.mkv,212,41.975,8.359
training.mkv,213,41.949,6.166
training.mkv,214,42.007,8.36
training.mkv,215,42.007,6.185
training.mkv,216,41.963,8.365
training.mkv,217,41.971,6.175
training.mkv,218,42.041,8.37
training.mkv,219,39.361,6.209
training.mkv,220,31.163,8.651
training.mkv,221,25.94,5.312
training.mkv,222,20.116,6.21
training.mkv,223,17.73,3.37
training.mkv,224,16.345,3.8
training.mkv,225,16.67,2.063
training.mkv,226,17.851,2.502
training.mkv,227,19.055,1.6
training.mkv,228,21.212,2.228
training.mkv,229,22.754,1.49
training.mkv,230,25.674,2.372
training.mkv,231,28.132,1.946
training.mkv,232,32.61,3.217
training.mkv,233,36.139,2.613
training.mkv,234,38.003,3.287
training.mkv,235,37.986,2.385
training.mkv,236,37.96,3.289
training.mkv,237,37.963,2.405
training.mkv,238,37.946,3.315
training.mkv,239,37.933,2.42
training.mkv,240,37.924,3.32

