,seq1_crf15,seq1_crf20,seq1_crf25,seq1_crf30,seq1_crf35,seq2_crf15,seq2_crf20,seq2_crf25,seq2_crf30,seq2_crf35,seq3_crf15,seq3_crf20,seq3_crf25,seq3_crf30,seq3_crf35,seq4_crf15,seq4_crf20,seq4_crf25,seq4_crf30,seq4_crf35,seq5_crf15,seq5_crf20,seq5_crf25,seq5_crf30,seq5_crf35,seq6_crf15,seq6_crf20,seq6_crf25,seq6_crf30,seq6_crf35,seq7_crf15,seq7_crf20,seq7_crf25,seq7_crf30,seq7_crf35,seq8_crf15,seq8_crf20,seq8_crf25,seq8_crf30,seq8_crf35
0,4,4,3,3,4,3,4,3,2,0,5,0,0,3,1,5,5,0,0,3,5,0,4,5,3,0,5,3,2,1,4,0,3,2,1,4,0,3,4,2
1,5,4,3,3,2,3,3,3,3,2,4,5,5,4,4,5,5,5,5,2,4,5,5,5,4,5,4,3,3,1,2,5,5,3,2,3,2,3,3,2
2,4,3,2,2,1,2,4,3,3,1,5,4,4,2,2,5,4,5,5,3,5,4,3,5,4,5,4,4,2,1,4,4,2,2,1,5,4,5,5,4
3,4,4,2,1,1,1,5,2,2,1,5,5,3,3,5,5,5,5,4,4,4,3,4,5,5,2,4,2,4,1,5,2,3,4,1,3,4,4,1,1
4,5,5,4,5,4,5,4,4,4,1,5,5,5,5,3,5,4,1,3,2,5,5,5,5,5,4,5,5,4,1,5,5,4,1,1,5,5,5,2,2
5,5,3,3,2,1,5,4,3,2,1,4,5,5,3,3,5,5,5,3,2,4,4,5,3,3,3,3,3,1,1,5,4,3,3,1,4,3,3,2,4
6,5,4,2,1,2,5,4,3,3,1,5,5,3,4,2,4,5,3,3,3,5,4,5,3,2,5,5,3,3,2,4,5,4,2,1,5,4,3,3,2
7,4,4,4,4,5,3,3,4,4,4,4,4,5,3,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,3,5,3,4,4,5,5,4
8,4,4,3,1,1,5,4,4,4,3,5,4,4,3,1,5,4,5,5,3,5,5,3,5,3,4,4,4,4,2,5,5,4,2,2,3,4,3,3,3
9,2,2,3,3,3,3,3,3,2,1,3,4,4,3,2,5,5,5,3,3,5,4,5,4,3,5,4,4,3,1,5,5,3,3,2,3,4,4,5,4
10,5,3,4,3,2,5,3,5,3,2,5,5,3,2,3,4,5,4,4,2,5,5,4,5,2,5,4,3,2,2,4,5,4,3,1,5,5,4,5,3
11,5,5,4,4,3,4,1,2,2,4,5,5,4,5,4,5,3,5,5,5,5,5,5,5,4,4,4,3,5,3,5,5,5,4,4,5,2,4,2,5
12,4,5,4,2,1,4,5,5,2,1,4,5,5,3,3,5,3,5,3,3,5,5,5,5,2,5,5,4,3,1,5,4,4,1,1,4,5,4,3,3
13,3,3,3,1,1,5,4,4,5,2,5,5,5,4,1,5,5,2,3,2,5,5,5,4,4,5,3,3,2,1,5,5,4,2,1,5,4,4,3,2
14,4,5,4,3,2,5,4,5,4,2,5,5,4,4,3,5,4,2,3,3,3,5,5,5,4,5,5,4,5,2,4,4,4,3,1,3,2,2,2,2
15,5,5,5,5,3,5,4,5,5,3,4,4,3,2,3,5,5,5,5,5,5,5,5,5,4,5,4,4,4,3,5,5,5,4,3,5,4,4,5,5
16,5,5,4,4,2,5,5,4,3,2,5,5,5,5,4,4,4,2,4,3,4,4,5,4,4,5,5,4,3,3,5,4,4,3,2,3,3,3,4,3
17,5,4,4,3,2,4,5,3,3,2,4,4,4,5,3,5,5,5,5,5,5,4,5,5,3,5,4,4,4,2,5,5,4,3,1,5,5,5,4,3
18,4,4,4,5,2,5,3,3,4,3,4,4,5,3,2,5,4,3,5,3,4,4,4,5,4,4,3,3,2,2,5,3,4,3,3,3,4,4,3,3
19,4,4,3,4,2,3,3,3,3,1,5,3,4,5,2,5,4,2,5,2,5,2,3,3,2,5,4,5,2,2,3,5,5,3,3,4,4,4,3,4
20,4,4,4,4,1,5,4,3,3,1,5,5,5,5,3,5,5,5,5,5,5,5,4,4,5,5,5,2,5,1,4,4,5,3,1,5,5,5,5,5
21,3,5,3,2,1,4,2,5,2,1,5,3,5,2,1,5,4,4,4,4,2,5,5,4,4,2,5,5,2,1,5,2,5,3,2,2,1,3,1,1
